review_text,sentiment
"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.",1
They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.,0
Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.,0
Good quality product. Delivered on time.,1
BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was good,1
Good quality original shuttles.,1
Awesome,1
nice original products,1
This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....,1
Best in class....,1
it's genuine and price is less than our near by shop,1
"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.",0
really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍,1
Nyc,1
I usually buy them the same model but this did not last even for a day,0
"Poor quality, not original",0
Delivered on expected time,1
nice and original product,1
Very nice and Good price compare then local sports.,1
It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...,1
superb,1
"Looked like defective once, without balance, had to throw 4 out of 6.",0
Genuine product at very reasonable price....got for Rs 630/-,1
Good sealed Original Yonex Shuttles,1
They are not as expected...the head  portion break very soon...defective pieces..,0
I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.,1
quality is poover,1
good product,1
Good product.....,1
Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!,1
shuttle is over rotating,0
Very bad quality.,0
Worst quality after 2 or 3 shots the ball started to rotate.,0
No one better shuttles in the market.good quality and reasonable price.,1
low quality,0
Superb quality... And best price.. Thanks to flipkart..!,1
second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800,0
I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.,1
"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.",0
"Quality is not good, rejected quality",0
This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great deal,1
Really Nice productQuick delivery Thanks filpkart,1
Very nice shuttle,1
Horrible product....each shuttle didn't last even I single day....Extremely poor quality..Pathetic,0
Quality very low. Not orginal,0
Worst,0
Their is difference in online quality and market quality. local market products is far better than online products,0
Dont but it.... worst product,0
Low quality very bad quality 😡,0
"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.",0
Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.,0
Not genuine product,0
Waste product,0
I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.,0
Very High Price,0
"Bad bad , compare to ah year back coming mavis 350",0
"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.",1
Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied product,0
All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350,0
3rd class quality  I want Returns but time is over,0
Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.,0
Certain corks are damaged. Certain corks are not even came for 2 matches,0
Very bad quality 👎,0
Not expected quality,0
Bad quality.... couldn't play 1hr  by an shuttle,0
not durable. very poor quality,0
but price is littel bit high,1
Good,1
not the required one.,1
This product is not original.please avoid online purchase.,0
One shuttle was damaged and vobling..let me know what to do,0
Good quality product,1
Good shuttle and  classic product,1
got defective pieces,0
"bad packing, unsatisfied",0
Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.None,1
good quality..  nice product..  thanks fpr fast delivery,1
Nice cocke,1
Good quality,1
Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.,0
it's awsm 😎,1
reasonable price,1
"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....",1
One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......,1
"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green cap",1
Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.,1
"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.",1
"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.",1
"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.",1
"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...",1
"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.",1
very good product n durable but not good enough speed slows down little in mid air,1
The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.,1
Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocks,1
Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...,1
"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️",1
"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  is",0
Cost is too high I hate the product,0
Very poor quality...inconsistent speed...poor flight,0
Yonex is always best in quality....,1
worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...,0
"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.",1
I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.,1
Amazing shuttlecockDurable and of best qualityGo for it.,1
checked at Sunrisetnt.com . found genuine,1
